1 Mot inconnu : Wanoo => ====== Wanoo (re06011988) ====== | wanoo
12 Confusion. Si vous voulez dire “cela”, écrivez “ça”. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | sa => suggestions : ['ça']
12 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | a => suggestions : ['à']
12 Incohérence probable avec “a” : “planter” n’est pas un participe passé. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | planter => suggestions : ['planté']
12 Mot inconnu : plutot => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | plutot
12 Accord de genre erroné : « forcement » est masculin. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | la => suggestions : ['le']
12 Accord de nombre erroné : « con » est au singulier. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | ces => suggestions : ['ce']
12 Accord de nombre erroné : « con » devrait être au pluriel. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | con => suggestions : ['cons']
12 Incohérence. Après « s’être », le verbe doit être un participe passé. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | énerver => suggestions : ['énervées', 'énervés', 'énervée', 'énervé']
12 Incohérence probable avec “ai” : “regarder” n’est pas un participe passé. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | regarder => suggestions : ['regardé']
12 Confusion : « passer » est un verbe. Exemples : ce bâtiment, se perdre. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | ce => suggestions : ['se']
12 Accord de nombre erroné : « bonne » devrait être au pluriel. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | bonne => suggestions : ['bonnes']
12 Mot inconnu : Programation => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | programation
12 Incohérence avec “très” : “pousser” n’est ni un adjectif, ni un participe passé, ni un adverbe. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | pousser => suggestions : ['pousse', 'poussas', 'pousses', 'poussées', 'poussée', 'poussa']
12 Mot inconnu : win => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | win
12 Mot inconnu : XP => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | xp
12 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | connaissait => suggestions : ['connaissais']
12 Mot inconnu : linux => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | linux
12 Mot inconnu : boot => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | boot
12 Ce verbe devrait être un participe passé au masculin singulier. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | lut => suggestions : ['lu']
12 Confusion. Le pronom personnel objet s’écrit “se”, la graphie élidée “s’”. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | c' => suggestions : ['s’']
12 Confusion. Si vous voulez dire “cela”, écrivez “ça”. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | sa => suggestions : ['ça']
12 Confusion probable : “a” est une conjugaison du verbe avoir. Pour la préposition, écrivez “à”. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | a => suggestions : ['à']
12 Incohérence probable avec “a” : “planter” n’est pas un participe passé. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | planter => suggestions : ['planté']
12 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | a => suggestions : ['à']
12 Accord de genre erroné : « manip » est féminin. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | un => suggestions : ['une']
12 Mot inconnu : zarb => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | zarb
12 Mot inconnu : maintenat => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | maintenat
12 Confusion probable : “a” est une conjugaison du verbe avoir. Pour la préposition, écrivez “à”. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | a => suggestions : ['à']
12 Incohérence probable avec “a” : “virer” n’est pas un participe passé. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | virer => suggestions : ['viré']
12 Mot inconnu : boot => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | boot

16 Mot inconnu : gallère => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | gallère
16 Mot inconnu : debut => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | debut
16 Accord de nombre erroné : « ligne » devrait être au pluriel. => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | ligne => suggestions : ['lignes']
16 Confusion : « servait » est un verbe. Exemples : sa jambe, ça vient. (Une faute de frappe peut-être ?) => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | sa => suggestions : ['ça', 'se']
16 Mot inconnu : grace => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | grace
16 Mot inconnu : men => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | men
16 Mot inconnu : men => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | men
16 Confusion probable. => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | et ben => suggestions : ['eh ben', 'hé ben']
16 Accord de nombre erroné : « petit » devrait être au pluriel. => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | petit => suggestions : ['petits']
16 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | a => suggestions : ['à']
16 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! | rend => suggestions : ['rends']
